Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Senegal,2021,Sub-Saharan Africa,5.132,4.349,0.7829999999999995
Serbia,2020,Central and Eastern Europe,5.77820015,5.429,0.3492001499999997
Serbia,2021,Central and Eastern Europe,6.078,5.488,0.5899999999999999
Sierra Leone,2020,Sub-Saharan Africa,3.926399946,3.823,0.10339994600000013
Sierra Leone,2021,Sub-Saharan Africa,3.849,3.847,0.002000000000000224
Singapore,2020,Southeast Asia,6.377099991,6.708,0.3309000090000005
Singapore,2021,Southeast Asia,6.377,6.708,0.3310000000000004
Slovakia,2020,Central and Eastern Europe,6.280600071,5.787,0.49360007100000036
Slovakia,2021,Central and Eastern Europe,6.331,5.813,0.5180000000000007
Slovenia,2020,Central and Eastern Europe,6.363399982,6.181,0.18239998199999974
Slovenia,2021,Central and Eastern Europe,6.461,6.188,0.2730000000000006
South Africa,2020,Sub-Saharan Africa,4.814099789,5.137,0.32290021099999944
South Africa,2021,Sub-Saharan Africa,4.956,5.086,0.1299999999999999
South Korea,2020,East Asia,5.872399807,5.467,0.4053998070000002
South Korea,2021,East Asia,5.845,5.468,0.3769999999999998
South Sudan,2020,Sub-Saharan Africa,2.816600084,3.899,1.082399916
Spain,2020,Western Europe,6.400899887,6.412,0.011100113000000356
Spain,2021,Western Europe,6.491,6.396,0.09499999999999975
Sri Lanka,2020,South Asia,4.327000141,5.477,1.1499998590000002
Sri Lanka,2021,South Asia,4.325,5.439,1.1139999999999999
Swaziland,2020,Sub-Saharan Africa,4.308100224,4.658,0.349899776
Swaziland,2021,Sub-Saharan Africa,4.308,4.739,0.43100000000000005
Sweden,2020,Western Europe,7.353499889,7.064,0.289499889
Sweden,2021,Western Europe,7.363,7.032,0.3310000000000004
Switzerland,2020,Western Europe,7.559899807,7.153,0.4068998070000003
Switzerland,2021,Western Europe,7.571,7.126,0.4449999999999994
Taiwan Province of China,2020,East Asia,6.45539999,5.878,0.57739999
Taiwan Province of China,2021,East Asia,6.584,5.881,0.7029999999999994
Tajikistan,2020,Commonwealth of Independent States,5.555699825,4.871,0.6846998249999992
Tajikistan,2021,Commonwealth of Independent States,5.466,4.869,0.5970000000000004
Tanzania,2020,Sub-Saharan Africa,3.476200104,4.416,0.9397998960000002
Tanzania,2021,Sub-Saharan Africa,3.623,4.42,0.7969999999999997
Thailand,2020,Southeast Asia,5.998799801,5.678,0.3207998009999997
Thailand,2021,Southeast Asia,5.985,5.682,0.30299999999999994
Togo,2020,Sub-Saharan Africa,4.187200069,3.616,0.5712000690000001
Togo,2021,Sub-Saharan Africa,4.107,3.621,0.4860000000000002
Trinidad and Tobago,2020,Latin America and Caribbean,6.191899776,5.645,0.5468997760000001
Tunisia,2020,Middle East and North Africa,4.392199993,4.691,0.29880000699999965
Tunisia,2021,Middle East and North Africa,4.596,4.687,0.09100000000000019
Turkey,2020,Middle East and North Africa,5.131800175,5.478,0.34619982499999935
Turkey,2021,Middle East and North Africa,4.948,5.434,0.48599999999999977
Turkmenistan,2020,Commonwealth of Independent States,5.119100094,5.656,0.5368999059999995
